./train_v1.py --exp_suffix fc-cd --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:01:10     1/1000    train       30/140         0.1%      1.00E-03    0.00781
 00:01:12     1/1000     val         5/19          0.1%      1.00E-03    0.00692
 00:01:12     1/1000    train       40/140         0.1%      1.00E-03    0.00634
 00:01:15     1/1000    train       50/140         0.1%      1.00E-03    0.00661
 00:01:16     1/1000     val         7/19          0.1%      1.00E-03    0.00786
 00:01:17     1/1000    train       60/140         0.1%      1.00E-03    0.00727
 00:01:20     1/1000     val         9/19          0.2%      1.00E-03    0.00762
 00:01:20     1/1000    train       70/140         0.2%      1.00E-03    0.00653
 00:01:22     1/1000    train       80/140         0.2%      1.00E-03    0.00812
 00:01:24     1/1000     val        11/19          0.2%      1.00E-03    0.00951
 00:01:25     1/1000    train       90/140         0.2%      1.00E-03    0.00697
 00:01:27     1/1000     val        13/19          0.2%      1.00E-03    0.00680
 00:01:27     1/1000    train      100/140         0.2%      1.00E-03    0.00651
 00:01:29     1/1000    train      110/140         0.2%      1.00E-03    0.00585
 00:01:30     1/1000     val        15/19          0.2%      1.00E-03    0.00678
 00:01:33     1/1000    train      120/140         0.2%      1.00E-03    0.00670
 00:01:34     1/1000     val        17/19          0.2%      1.00E-03    0.00603
 00:01:34     1/1000    train      130/140         0.2%      1.00E-03    0.00583
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:01:37     2/1000    train        0/140         0.2%      1.00E-03    0.00613
 00:01:38     2/1000     val         0/19          0.2%      1.00E-03    0.00770
 00:01:41     2/1000    train       10/140         0.2%      1.00E-03    0.00628
 00:01:42     2/1000     val         2/19          0.2%      1.00E-03    0.00673
 00:01:42     2/1000    train       20/140         0.2%      1.00E-03    0.00536
 00:01:46     2/1000     val         4/19          0.2%      1.00E-03    0.00642
 00:01:46     2/1000    train       30/140         0.2%      1.00E-03    0.00572
 00:01:48     2/1000    train       40/140         0.2%      1.00E-03    0.00545
 00:01:49     2/1000     val         6/19          0.2%      1.00E-03    0.00652
 00:01:50     2/1000    train       50/140         0.2%      1.00E-03    0.00616
 00:01:53     2/1000     val         8/19          0.2%      1.00E-03    0.00819
 00:01:53     2/1000    train       60/140         0.2%      1.00E-03    0.00552
 00:01:55     2/1000    train       70/140         0.3%      1.00E-03    0.00549
 00:01:56     2/1000     val        10/19          0.3%      1.00E-03    0.00512
 00:01:57     2/1000    train       80/140         0.3%      1.00E-03    0.00552
 00:02:00     2/1000     val        12/19          0.3%      1.00E-03    0.00766
 00:02:00     2/1000    train       90/140         0.3%      1.00E-03    0.00666
 00:02:02     2/1000    train      100/140         0.3%      1.00E-03    0.00585
 00:02:04     2/1000     val        14/19          0.3%      1.00E-03    0.00576
 00:02:04     2/1000    train      110/140         0.3%      1.00E-03    0.00546
 00:02:07     2/1000     val        16/19          0.3%      1.00E-03    0.00856
 00:02:07     2/1000    train      120/140         0.3%      1.00E-03    0.00490
 00:02:09     2/1000    train      130/140         0.3%      1.00E-03    0.00568
 00:02:11     2/1000     val        18/19          0.3%      1.00E-03    0.00665
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:02:13     3/1000    train        0/140         0.3%      1.00E-03    0.00635
 00:02:15     3/1000     val         1/19          0.3%      1.00E-03    0.01148
 00:02:15     3/1000    train       10/140         0.3%      1.00E-03    0.00545
 00:02:17     3/1000    train       20/140         0.3%      1.00E-03    0.00583
 00:02:19     3/1000     val         3/19          0.3%      1.00E-03    0.00814
 00:02:21     3/1000    train       30/140         0.3%      1.00E-03    0.00491
 00:02:22     3/1000     val         5/19          0.3%      1.00E-03    0.00837
 00:02:23     3/1000    train       40/140         0.3%      1.00E-03    0.00580
 00:02:25     3/1000    train       50/140         0.3%      1.00E-03    0.00570
 00:02:25     3/1000     val         7/19          0.3%      1.00E-03    0.00582
 00:02:28     3/1000    train       60/140         0.3%      1.00E-03    0.00628
 00:02:30     3/1000     val         9/19          0.4%      1.00E-03    0.00657
 00:02:30     3/1000    train       70/140         0.4%      1.00E-03    0.00606
 00:02:32     3/1000    train       80/140         0.4%      1.00E-03    0.00469
 00:02:33     3/1000     val        11/19          0.4%      1.00E-03    0.01045
 00:02:35     3/1000    train       90/140         0.4%      1.00E-03    0.00483
 00:02:37     3/1000     val        13/19          0.4%      1.00E-03    0.00633
 00:02:37     3/1000    train      100/140         0.4%      1.00E-03    0.00478
 00:02:39     3/1000    train      110/140         0.4%      1.00E-03    0.00458
 00:02:40     3/1000     val        15/19          0.4%      1.00E-03    0.00687
 00:02:42     3/1000    train      120/140         0.4%      1.00E-03    0.00474
 00:02:44     3/1000     val        17/19          0.4%      1.00E-03    0.00562
 00:02:44     3/1000    train      130/140         0.4%      1.00E-03    0.00691
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:02:47     4/1000    train        0/140         0.4%      1.00E-03    0.00519
 00:02:48     4/1000     val         0/19          0.4%      1.00E-03    0.00543
 00:02:50     4/1000    train       10/140         0.4%      1.00E-03    0.00502
 00:02:51     4/1000     val         2/19          0.4%      1.00E-03    0.00633
 00:02:52     4/1000    train       20/140         0.4%      1.00E-03    0.00619
 00:02:55     4/1000     val         4/19          0.4%      1.00E-03    0.00740
 00:02:55     4/1000    train       30/140         0.4%      1.00E-03    0.00498
 00:02:57     4/1000    train       40/140         0.4%      1.00E-03    0.00456
 00:02:59     4/1000     val         6/19          0.4%      1.00E-03    0.00672
 00:02:59     4/1000    train       50/140         0.4%      1.00E-03    0.00579
 00:03:03     4/1000     val         8/19          0.4%      1.00E-03    0.00589
 00:03:03     4/1000    train       60/140         0.4%      1.00E-03    0.00498
 00:03:05     4/1000    train       70/140         0.5%      1.00E-03    0.00630
 00:03:06     4/1000     val        10/19          0.5%      1.00E-03    0.00534
 00:03:06     4/1000    train       80/140         0.5%      1.00E-03    0.00625
 00:03:10     4/1000     val        12/19          0.5%      1.00E-03    0.00747
 00:03:10     4/1000    train       90/140         0.5%      1.00E-03    0.00595
 00:03:12     4/1000    train      100/140         0.5%      1.00E-03    0.00480
 00:03:13     4/1000     val        14/19          0.5%      1.00E-03    0.00577
 00:03:13     4/1000    train      110/140         0.5%      1.00E-03    0.00470
 00:03:17     4/1000     val        16/19          0.5%      1.00E-03    0.00667
 00:03:17     4/1000    train      120/140         0.5%      1.00E-03    0.00447
 00:03:19     4/1000    train      130/140         0.5%      1.00E-03    0.00592
 00:03:20     4/1000     val        18/19          0.5%      1.00E-03    0.00958
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:03:22     5/1000    train        0/140         0.5%      1.00E-03    0.00463
 00:03:24     5/1000     val         1/19          0.5%      1.00E-03    0.00597
 00:03:24     5/1000    train       10/140         0.5%      1.00E-03    0.00494
 00:03:27     5/1000    train       20/140         0.5%      1.00E-03    0.00591
 00:03:29     5/1000     val         3/19          0.5%      1.00E-03    0.00723
 00:03:30     5/1000    train       30/140         0.5%      1.00E-03    0.00489
 00:03:32     5/1000     val         5/19          0.5%      1.00E-03    0.01020
 00:03:32     5/1000    train       40/140         0.5%      1.00E-03    0.00537
 00:03:34     5/1000    train       50/140         0.5%      1.00E-03    0.00589
 00:03:35     5/1000     val         7/19          0.5%      1.00E-03    0.00955
 00:03:37     5/1000    train       60/140         0.5%      1.00E-03    0.00491
 00:03:38     5/1000     val         9/19          0.6%      1.00E-03    0.00701
 00:03:39     5/1000    train       70/140         0.6%      1.00E-03    0.00485
 00:03:41     5/1000    train       80/140         0.6%      1.00E-03    0.00468
 00:03:43     5/1000     val        11/19          0.6%      1.00E-03    0.00558
 00:03:44     5/1000    train       90/140         0.6%      1.00E-03    0.00614
 00:03:46     5/1000     val        13/19          0.6%      1.00E-03    0.01140
 00:03:46     5/1000    train      100/140         0.6%      1.00E-03    0.00461
 00:03:49     5/1000    train      110/140         0.6%      1.00E-03    0.00469
 00:03:50     5/1000     val        15/19          0.6%      1.00E-03    0.00960
 00:03:52     5/1000    train      120/140         0.6%      1.00E-03    0.00497
 00:03:53     5/1000     val        17/19          0.6%      1.00E-03    0.00545
 00:03:53     5/1000    train      130/140         0.6%      1.00E-03    0.00586
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:03:56     6/1000    train        0/140         0.6%      1.00E-03    0.00473
 00:03:58     6/1000     val         0/19          0.6%      1.00E-03    0.00566
 00:03:59     6/1000    train       10/140         0.6%      1.00E-03    0.00477
 00:04:00     6/1000     val         2/19          0.6%      1.00E-03    0.00847
 00:04:01     6/1000    train       20/140         0.6%      1.00E-03    0.00431
 00:04:05     6/1000     val         4/19          0.6%      1.00E-03    0.00956
 00:04:05     6/1000    train       30/140         0.6%      1.00E-03    0.00423
 00:04:07     6/1000    train       40/140         0.6%      1.00E-03    0.00423
 00:04:09     6/1000     val         6/19          0.6%      1.00E-03    0.00746
 00:04:09     6/1000    train       50/140         0.6%      1.00E-03    0.00437
 00:04:12     6/1000     val         8/19          0.6%      1.00E-03    0.00769
 00:04:12     6/1000    train       60/140         0.6%      1.00E-03    0.00400
 00:04:14     6/1000    train       70/140         0.7%      1.00E-03    0.00540
 00:04:15     6/1000     val        10/19          0.7%      1.00E-03    0.00479
 00:04:17     6/1000    train       80/140         0.7%      1.00E-03    0.00460
 00:04:19     6/1000     val        12/19          0.7%      1.00E-03    0.00717
 00:04:19     6/1000    train       90/140         0.7%      1.00E-03    0.00471
 00:04:21     6/1000    train      100/140         0.7%      1.00E-03    0.00491
 00:04:23     6/1000     val        14/19          0.7%      1.00E-03    0.00589
 00:04:23     6/1000    train      110/140         0.7%      1.00E-03    0.00453
 00:04:27     6/1000     val        16/19          0.7%      1.00E-03    0.00701
 00:04:27     6/1000    train      120/140         0.7%      1.00E-03    0.00469
 00:04:28     6/1000    train      130/140         0.7%      1.00E-03    0.00463
 00:04:30     6/1000     val        18/19          0.7%      1.00E-03    0.00679
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:04:31     7/1000    train        0/140         0.7%      1.00E-03    0.00476
 00:04:34     7/1000     val         1/19          0.7%      1.00E-03    0.00781
 00:04:34     7/1000    train       10/140         0.7%      1.00E-03    0.00515
 00:04:36     7/1000    train       20/140         0.7%      1.00E-03    0.00574
 00:04:38     7/1000     val         3/19          0.7%      1.00E-03    0.00828
 00:04:39     7/1000    train       30/140         0.7%      1.00E-03    0.00493
 00:04:41     7/1000     val         5/19          0.7%      1.00E-03    0.00697
 00:04:41     7/1000    train       40/140         0.7%      1.00E-03    0.00469
 00:04:43     7/1000    train       50/140         0.7%      1.00E-03    0.00474
 00:04:45     7/1000     val         7/19          0.7%      1.00E-03    0.00695
 00:04:47     7/1000    train       60/140         0.7%      1.00E-03    0.00525
 00:04:48     7/1000     val         9/19          0.8%      1.00E-03    0.00678
 00:04:48     7/1000    train       70/140         0.8%      1.00E-03    0.00420
 00:04:51     7/1000    train       80/140         0.8%      1.00E-03    0.00491
 00:04:52     7/1000     val        11/19          0.8%      1.00E-03    0.00521
 00:04:54     7/1000    train       90/140         0.8%      1.00E-03    0.00596
 00:04:56     7/1000     val        13/19          0.8%      1.00E-03    0.00788
 00:04:56     7/1000    train      100/140         0.8%      1.00E-03    0.00511
 00:04:58     7/1000    train      110/140         0.8%      1.00E-03    0.00473
 00:04:59     7/1000     val        15/19          0.8%      1.00E-03    0.00924
 00:05:01     7/1000    train      120/140         0.8%      1.00E-03    0.00488
 00:05:02     7/1000     val        17/19          0.8%      1.00E-03    0.00860
 00:05:02     7/1000    train      130/140         0.8%      1.00E-03    0.00439
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:05:05     8/1000    train        0/140         0.8%      1.00E-03    0.00487
 00:05:06     8/1000     val         0/19          0.8%      1.00E-03    0.01022
 00:05:09     8/1000    train       10/140         0.8%      1.00E-03    0.00534
 00:05:10     8/1000     val         2/19          0.8%      1.00E-03    0.00892
 00:05:11     8/1000    train       20/140         0.8%      1.00E-03    0.00556
 00:05:14     8/1000     val         4/19          0.8%      1.00E-03    0.00868
 00:05:14     8/1000    train       30/140         0.8%      1.00E-03    0.00458
 00:05:16     8/1000    train       40/140         0.8%      1.00E-03    0.00517
 00:05:18     8/1000     val         6/19          0.8%      1.00E-03    0.00751
 00:05:18     8/1000    train       50/140         0.8%      1.00E-03    0.00394
 00:05:22     8/1000     val         8/19          0.8%      1.00E-03    0.00602
 00:05:22     8/1000    train       60/140         0.8%      1.00E-03    0.00468
 00:05:24     8/1000    train       70/140         0.9%      1.00E-03    0.00478
 00:05:25     8/1000     val        10/19          0.9%      1.00E-03    0.00446
 00:05:25     8/1000    train       80/140         0.9%      1.00E-03    0.00470
 00:05:29     8/1000     val        12/19          0.9%      1.00E-03    0.00590
 00:05:29     8/1000    train       90/140         0.9%      1.00E-03    0.00544
 00:05:31     8/1000    train      100/140         0.9%      1.00E-03    0.00565
 00:05:32     8/1000     val        14/19          0.9%      1.00E-03    0.00717
 00:05:33     8/1000    train      110/140         0.9%      1.00E-03    0.00431
 00:05:36     8/1000     val        16/19          0.9%      1.00E-03    0.01023
 00:05:36     8/1000    train      120/140         0.9%      1.00E-03    0.00529
 00:05:38     8/1000    train      130/140         0.9%      1.00E-03    0.00493
 00:05:39     8/1000     val        18/19          0.9%      1.00E-03    0.00546
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:05:41     9/1000    train        0/140         0.9%      1.00E-03    0.00476
 00:05:44     9/1000     val         1/19          0.9%      1.00E-03    0.01108
 00:05:44     9/1000    train       10/140         0.9%      1.00E-03    0.00503
 00:05:45     9/1000    train       20/140         0.9%      1.00E-03    0.00547
 00:05:48     9/1000     val         3/19          0.9%      1.00E-03    0.00688
 00:05:49     9/1000    train       30/140         0.9%      1.00E-03    0.00494
 00:05:51     9/1000     val         5/19          0.9%      1.00E-03    0.00615
 00:05:51     9/1000    train       40/140         0.9%      1.00E-03    0.00422
 00:05:53     9/1000    train       50/140         0.9%      1.00E-03    0.00468
 00:05:54     9/1000     val         7/19          0.9%      1.00E-03    0.00566
 00:05:56     9/1000    train       60/140         0.9%      1.00E-03    0.00535
 00:05:58     9/1000     val         9/19          1.0%      1.00E-03    0.00764
 00:05:58     9/1000    train       70/140         1.0%      1.00E-03    0.00458
 00:06:00     9/1000    train       80/140         1.0%      1.00E-03    0.00442
 00:06:02     9/1000     val        11/19          1.0%      1.00E-03    0.00753
 00:06:04     9/1000    train       90/140         1.0%      1.00E-03    0.00426
 00:06:05     9/1000     val        13/19          1.0%      1.00E-03    0.00737
 00:06:06     9/1000    train      100/140         1.0%      1.00E-03    0.00503
 00:06:07     9/1000    train      110/140         1.0%      1.00E-03    0.00426
 00:06:09     9/1000     val        15/19          1.0%      1.00E-03    0.00756
 00:06:11     9/1000    train      120/140         1.0%      1.00E-03    0.00557
 00:06:13     9/1000     val        17/19          1.0%      1.00E-03    0.00404
 00:06:13     9/1000    train      130/140         1.0%      1.00E-03    0.00490
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:06:15    10/1000    train        0/140         1.0%      1.00E-03    0.00594
 00:06:17    10/1000     val         0/19          1.0%      1.00E-03    0.00662
Visualizing ...
Generating html visualization ...
DONE
 00:06:28    10/1000    train       10/140         1.0%      1.00E-03    0.00441
 00:06:30    10/1000     val         2/19          1.0%      1.00E-03    0.00680
 00:06:30    10/1000    train       20/140         1.0%      1.00E-03    0.00542
 00:06:33    10/1000     val         4/19          1.0%      1.00E-03    0.00791
 00:06:33    10/1000    train       30/140         1.0%      1.00E-03    0.00488
 00:06:35    10/1000    train       40/140         1.0%      1.00E-03    0.00511
 00:06:37    10/1000     val         6/19          1.0%      1.00E-03    0.00642
 00:06:37    10/1000    train       50/140         1.0%      1.00E-03    0.00474
 00:06:40    10/1000     val         8/19          1.0%      1.00E-03    0.00753
 00:06:40    10/1000    train       60/140         1.0%      1.00E-03    0.00499
 00:06:42    10/1000    train       70/140         1.1%      1.00E-03    0.00408
 00:06:44    10/1000     val        10/19          1.1%      1.00E-03    0.00473
 00:06:44    10/1000    train       80/140         1.1%      1.00E-03    0.00412
 00:06:48    10/1000     val        12/19          1.1%      1.00E-03    0.00649
 00:06:48    10/1000    train       90/140         1.1%      1.00E-03    0.00544
 00:06:50    10/1000    train      100/140         1.1%      1.00E-03    0.00468
 00:06:51    10/1000     val        14/19          1.1%      1.00E-03    0.00760
 00:06:51    10/1000    train      110/140         1.1%      1.00E-03    0.00442
 00:06:55    10/1000     val        16/19          1.1%      1.00E-03    0.00814
 00:06:55    10/1000    train      120/140         1.1%      1.00E-03    0.00474
 00:06:56    10/1000    train      130/140         1.1%      1.00E-03    0.00469
 00:06:58    10/1000     val        18/19          1.1%      1.00E-03    0.00545
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:06:59    11/1000    train        0/140         1.1%      1.00E-03    0.00460
 00:07:02    11/1000     val         1/19          1.1%      1.00E-03    0.00589
 00:07:02    11/1000    train       10/140         1.1%      1.00E-03    0.00534
 00:07:04    11/1000    train       20/140         1.1%      1.00E-03    0.00606
 00:07:06    11/1000     val         3/19          1.1%      1.00E-03    0.00749
 00:07:08    11/1000    train       30/140         1.1%      1.00E-03    0.00347
 00:07:09    11/1000     val         5/19          1.1%      1.00E-03    0.00618
 00:07:09    11/1000    train       40/140         1.1%      1.00E-03    0.00481
 00:07:12    11/1000    train       50/140         1.1%      1.00E-03    0.00484
 00:07:13    11/1000     val         7/19          1.1%      1.00E-03    0.00652
 00:07:14    11/1000    train       60/140         1.1%      1.00E-03    0.00443
 00:07:17    11/1000     val         9/19          1.2%      1.00E-03    0.00689
 00:07:17    11/1000    train       70/140         1.2%      1.00E-03    0.00420
 00:07:19    11/1000    train       80/140         1.2%      1.00E-03    0.00375
 00:07:21    11/1000     val        11/19          1.2%      1.00E-03    0.00826
 00:07:23    11/1000    train       90/140         1.2%      1.00E-03    0.00518
 00:07:24    11/1000     val        13/19          1.2%      1.00E-03    0.01322
 00:07:24    11/1000    train      100/140         1.2%      1.00E-03    0.00420
 00:07:27    11/1000    train      110/140         1.2%      1.00E-03    0.00468
 00:07:28    11/1000     val        15/19          1.2%      1.00E-03    0.00642
 00:07:30    11/1000    train      120/140         1.2%      1.00E-03    0.00474
 00:07:32    11/1000     val        17/19          1.2%      1.00E-03    0.00499
 00:07:32    11/1000    train      130/140         1.2%      1.00E-03    0.00493
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:07:34    12/1000    train        0/140         1.2%      1.00E-03    0.00563
 00:07:36    12/1000     val         0/19          1.2%      1.00E-03    0.00790
 00:07:37    12/1000    train       10/140         1.2%      1.00E-03    0.00382
 00:07:39    12/1000     val         2/19          1.2%      1.00E-03    0.00535
 00:07:39    12/1000    train       20/140         1.2%      1.00E-03    0.00461
 00:07:43    12/1000     val         4/19          1.2%      1.00E-03    0.00621
 00:07:43    12/1000    train       30/140         1.2%      1.00E-03    0.00483
 00:07:45    12/1000    train       40/140         1.2%      1.00E-03    0.00468
 00:07:46    12/1000     val         6/19          1.2%      1.00E-03    0.00872
 00:07:47    12/1000    train       50/140         1.2%      1.00E-03    0.00534
 00:07:50    12/1000     val         8/19          1.2%      1.00E-03    0.00680
 00:07:50    12/1000    train       60/140         1.2%      1.00E-03    0.00481
 00:07:52    12/1000    train       70/140         1.3%      1.00E-03    0.00750
 00:07:54    12/1000     val        10/19          1.3%      1.00E-03    0.00600
 00:07:54    12/1000    train       80/140         1.3%      1.00E-03    0.00549
 00:07:57    12/1000     val        12/19          1.3%      1.00E-03    0.00709
 00:07:57    12/1000    train       90/140         1.3%      1.00E-03    0.00513
 00:07:59    12/1000    train      100/140         1.3%      1.00E-03    0.00571
 00:08:01    12/1000     val        14/19          1.3%      1.00E-03    0.00474
 00:08:01    12/1000    train      110/140         1.3%      1.00E-03    0.00486
 00:08:04    12/1000     val        16/19          1.3%      1.00E-03    0.00615
 00:08:04    12/1000    train      120/140         1.3%      1.00E-03    0.00440
 00:08:06    12/1000    train      130/140         1.3%      1.00E-03    0.00461
 00:08:07    12/1000     val        18/19          1.3%      1.00E-03    0.00558
training run exp-model_v1-fc-cd
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    Loss
 00:08:09    13/1000    train        0/140         1.3%      1.00E-03    0.00398
 00:08:12    13/1000     val         1/19          1.3%      1.00E-03    0.00861
 00:08:12    13/1000    train       10/140         1.3%      1.00E-03    0.00437
 00:08:14    13/1000    train       20/140         1.3%      1.00E-03    0.00460
 00:08:16    13/1000     val         3/19          1.3%      1.00E-03    0.00571
 00:08:18    13/1000    train       30/140         1.3%      1.00E-03    0.00441
 00:08:20    13/1000     val         5/19          1.3%      1.00E-03    0.00528
 00:08:20    13/1000    train       40/140         1.3%      1.00E-03    0.00538
 00:08:22    13/1000    train       50/140         1.3%      1.00E-03    0.00378
 00:08:23    13/1000     val         7/19          1.3%      1.00E-03    0.00576
 00:08:25    13/1000    train       60/140         1.3%      1.00E-03    0.00384
 00:08:27    13/1000     val         9/19          1.4%      1.00E-03    0.00458
 00:08:27    13/1000    train       70/140         1.4%      1.00E-03    0.00581
 00:08:29    13/1000    train       80/140         1.4%      1.00E-03    0.00480
 00:08:30    13/1000     val        11/19          1.4%      1.00E-03    0.00589
 00:08:32    13/1000    train       90/140         1.4%      1.00E-03    0.00409
 00:08:34    13/1000     val        13/19          1.4%      1.00E-03    0.00570
 00:08:34    13/1000    train      100/140         1.4%      1.00E-03    0.00391
 00:08:36    13/1000    train      110/140         1.4%      1.00E-03    0.00412
 00:08:38    13/1000     val        15/19          1.4%      1.00E-03    0.00576
 00:08:40    13/1000    train      120/140         1.4%      1.00E-03    0.00447
 00:08:41    13/1000     val        17/19          1.4%      1.00E-03    0.00488
